Glyph Name,Unicode Codepoint (hex),Character
uniE25E,U+E25E,
uniE25F,U+E25F,
uniE260,U+E260,
uniE261,U+E261,
uniE262,U+E262,
uniE263,U+E263,
uniE264,U+E264,
uniE265,U+E265,
uniE266,U+E266,
uniE267,U+E267,
uniE268,U+E268,
uniE269,U+E269,
uniE26A,U+E26A,
uniE26B,U+E26B,
uniE26C,U+E26C,
uniE26D,U+E26D,
uniE26E,U+E26E,
uniE26F,U+E26F,
uniE270,U+E270,
uniE271,U+E271,
uniE272,U+E272,
uniE273,U+E273,
uniE274,U+E274,
uniE275,U+E275,
uniE276,U+E276,
uniE277,U+E277,
uniE278,U+E278,
uniE279,U+E279,
uniE27A,U+E27A,
uniE27B,U+E27B,
uniE27C,U+E27C,
uniE27D,U+E27D,
uniE27E,U+E27E,
uniE27F,U+E27F,
uniE280,U+E280,
uniE281,U+E281,
uniE282,U+E282,
uniE283,U+E283,
uniE284,U+E284,
uniE285,U+E285,
uniE286,U+E286,
uniE287,U+E287,
uniE288,U+E288,
uniE289,U+E289,
uniE28A,U+E28A,
uniE28B,U+E28B,
uniE28C,U+E28C,
uniE28D,U+E28D,
uniE28E,U+E28E,
uniE28F,U+E28F,
uniE290,U+E290,
uniE291,U+E291,
uniE292,U+E292,
uniE293,U+E293,
uniE294,U+E294,
uniE295,U+E295,
uniE296,U+E296,
uniE297,U+E297,
uniE298,U+E298,
uniE299,U+E299,
uniE29A,U+E29A,
uniE29B,U+E29B,
uniE29C,U+E29C,
uniE29D,U+E29D,
uniE29E,U+E29E,
uniE29F,U+E29F,
uniE2A0,U+E2A0,
uniE2A1,U+E2A1,
uniE2A2,U+E2A2,
uniE2A3,U+E2A3,
uniE2A4,U+E2A4,
uniE2A5,U+E2A5,
uniE2A6,U+E2A6,
uniE2A7,U+E2A7,
uniE2A8,U+E2A8,
uniE2A9,U+E2A9,
uniE2AA,U+E2AA,
uniE2AB,U+E2AB,
uniE2AC,U+E2AC,
uniE2AD,U+E2AD,
uniE2AE,U+E2AE,
uniE2AF,U+E2AF,
uniE2B0,U+E2B0,
uniE2B1,U+E2B1,
uniE2B2,U+E2B2,
uniE2B3,U+E2B3,
uniE2B4,U+E2B4,
uniE2B5,U+E2B5,
uniE2B6,U+E2B6,
uniE2B7,U+E2B7,
uniE2B8,U+E2B8,
uniE2B9,U+E2B9,
uniE2BA,U+E2BA,
uniE2BB,U+E2BB,
uniE2BC,U+E2BC,
uniE2BD,U+E2BD,
uniE2BE,U+E2BE,
uniE2BF,U+E2BF,
uniE2C0,U+E2C0,
uniE2C1,U+E2C1,
uniE2C2,U+E2C2,
uniE2C3,U+E2C3,
uniE2C4,U+E2C4,
uniE2C5,U+E2C5,
uniE2C6,U+E2C6,
uniE2C7,U+E2C7,
uniE2C8,U+E2C8,
uniE2C9,U+E2C9,
uniE2CA,U+E2CA,
uniE2CB,U+E2CB,
uniE2CC,U+E2CC,
uniE2CD,U+E2CD,
uniE2CE,U+E2CE,
uniE2CF,U+E2CF,
uniE2D0,U+E2D0,
uniE2D1,U+E2D1,
uniE2D2,U+E2D2,
uniE2D3,U+E2D3,
uniE2D4,U+E2D4,
uniE2D5,U+E2D5,
uniE2D6,U+E2D6,
uniE2D7,U+E2D7,
uniE2D8,U+E2D8,
uniE2D9,U+E2D9,
uniE2DA,U+E2DA,
uniE2DB,U+E2DB,
uniE2DC,U+E2DC,
uniE2DD,U+E2DD,
uniE2DE,U+E2DE,
uniE2DF,U+E2DF,
uniE2E0,U+E2E0,
uniE2E1,U+E2E1,
uniE2E2,U+E2E2,
uniE2E3,U+E2E3,
uniE2E4,U+E2E4,
uniE2E5,U+E2E5,
uniE2E6,U+E2E6,
uniE2E7,U+E2E7,
uniE2E8,U+E2E8,
uniE2E9,U+E2E9,
uniE2EA,U+E2EA,
uniE2EB,U+E2EB,
uniE2EC,U+E2EC,
uniE2ED,U+E2ED,
uniE2EE,U+E2EE,
uniE2EF,U+E2EF,
uniE2F0,U+E2F0,
uniE2F1,U+E2F1,
uniE2F2,U+E2F2,
uniE2F3,U+E2F3,
uniE2F4,U+E2F4,
uniE2F5,U+E2F5,
uniE2F6,U+E2F6,
uniE2F7,U+E2F7,
uniE2F8,U+E2F8,
uniE2F9,U+E2F9,
uniE2FA,U+E2FA,
uniE2FB,U+E2FB,
uniE2FC,U+E2FC,
uniE2FD,U+E2FD,
uniE2FE,U+E2FE,
uniE2FF,U+E2FF,
uniE300,U+E300,
uniE301,U+E301,
uniE302,U+E302,
uniE303,U+E303,
uniE304,U+E304,
uniE305,U+E305,
uniE306,U+E306,
uniE307,U+E307,
uniE308,U+E308,
uniE309,U+E309,
uniE30A,U+E30A,
uniE30B,U+E30B,
uniE30C,U+E30C,
uniE30D,U+E30D,
uniE30E,U+E30E,
uniE30F,U+E30F,
uniE310,U+E310,
uniE311,U+E311,
uniE312,U+E312,
uniE313,U+E313,
uniE314,U+E314,
uniE315,U+E315,
uniE316,U+E316,
uniE317,U+E317,
uniE318,U+E318,
uniE319,U+E319,
uniE31A,U+E31A,
uniE31B,U+E31B,
uniE31C,U+E31C,
uniE31D,U+E31D,
uniE31E,U+E31E,
uniE31F,U+E31F,
uniE320,U+E320,
uniE321,U+E321,
uniE322,U+E322,
uniE323,U+E323,
uniE324,U+E324,
uniE325,U+E325,
uniE326,U+E326,
uniE327,U+E327,
uniE328,U+E328,
uniE329,U+E329,
uniE32A,U+E32A,
uniE32B,U+E32B,
uniE32C,U+E32C,
uniE32D,U+E32D,
uniE32E,U+E32E,
uniE32F,U+E32F,
uniE330,U+E330,
uniE331,U+E331,
uniE332,U+E332,
uniE333,U+E333,
uniE334,U+E334,
uniE335,U+E335,
uniE336,U+E336,
uniE337,U+E337,
uniE338,U+E338,
uniE339,U+E339,
uniE33A,U+E33A,
uniE33B,U+E33B,
uniE33C,U+E33C,
uniE33D,U+E33D,
uniE33E,U+E33E,
uniE33F,U+E33F,
uniE340,U+E340,
uniE341,U+E341,
uniE342,U+E342,
uniE343,U+E343,
uniE344,U+E344,
uniE345,U+E345,
uniE346,U+E346,
uniE347,U+E347,
uniE348,U+E348,
uniE349,U+E349,
uniE34A,U+E34A,
uniE34B,U+E34B,
uniE34C,U+E34C,
uniE34D,U+E34D,
uniE34E,U+E34E,
uniE34F,U+E34F,
uniE350,U+E350,
uniE351,U+E351,
uniE352,U+E352,
uniE353,U+E353,
uniE354,U+E354,
uniE355,U+E355,
uniE356,U+E356,
uniE357,U+E357,
uniE358,U+E358,
uniE359,U+E359,
uniE35A,U+E35A,
uniE35B,U+E35B,
uniE35C,U+E35C,
uniE35D,U+E35D,
uniE35E,U+E35E,
uniE35F,U+E35F,
uniE360,U+E360,
uniE361,U+E361,
uniE362,U+E362,
uniE363,U+E363,
uniE364,U+E364,
uniE365,U+E365,
uniE366,U+E366,
uniE367,U+E367,
uniE368,U+E368,
uniE369,U+E369,
uniE36A,U+E36A,
uniE36B,U+E36B,
uniE36C,U+E36C,
uniE36D,U+E36D,
uniE36E,U+E36E,
uniE36F,U+E36F,
uniE370,U+E370,
uniE371,U+E371,
uniE372,U+E372,
uniE373,U+E373,
uniE374,U+E374,
uniE375,U+E375,
uniE376,U+E376,
uniE377,U+E377,
uniE378,U+E378,
uniE379,U+E379,
uniE37A,U+E37A,
uniE37B,U+E37B,
uniE37C,U+E37C,
uniE37D,U+E37D,
uniE37E,U+E37E,
uniE37F,U+E37F,
uniE380,U+E380,
uniE381,U+E381,
uniE382,U+E382,
uniE383,U+E383,
uniE384,U+E384,
uniE385,U+E385,
uniE386,U+E386,
uniE387,U+E387,
uniE388,U+E388,
uniE389,U+E389,
uniE38A,U+E38A,
uniE38B,U+E38B,
uniE38C,U+E38C,
uniE38D,U+E38D,
uniE38E,U+E38E,
uniE38F,U+E38F,
uniE390,U+E390,
uniE391,U+E391,
uniE392,U+E392,
uniE393,U+E393,
uniE394,U+E394,
uniE395,U+E395,
uniE396,U+E396,
uniE397,U+E397,
uniE398,U+E398,
uniE399,U+E399,
uniE39A,U+E39A,
uniE39B,U+E39B,
uniE39C,U+E39C,
uniE39D,U+E39D,
uniE39E,U+E39E,
uniE39F,U+E39F,
uniE3A0,U+E3A0,
uniE3A1,U+E3A1,
uniE3A2,U+E3A2,
uniE3A3,U+E3A3,
uniE3A4,U+E3A4,
uniE3A5,U+E3A5,
uniE3A6,U+E3A6,
uniE3A7,U+E3A7,
uniE3A8,U+E3A8,
uniE3A9,U+E3A9,
uniE3AA,U+E3AA,
uniE3AB,U+E3AB,
uniE3AC,U+E3AC,
uniE3AD,U+E3AD,
uniE3AE,U+E3AE,
uniE3AF,U+E3AF,
uniE3B0,U+E3B0,
uniE3B1,U+E3B1,
uniE3B2,U+E3B2,
uniE3B3,U+E3B3,
uniE3B4,U+E3B4,
uniE3B5,U+E3B5,
uniE3B6,U+E3B6,
uniE3B7,U+E3B7,
uniE3B8,U+E3B8,
uniE3B9,U+E3B9,
uniE3BA,U+E3BA,
uniE3BB,U+E3BB,
uniE3BC,U+E3BC,
uniE3BD,U+E3BD,
uniE3BE,U+E3BE,
uniE3BF,U+E3BF,
uniE3C0,U+E3C0,
uniE3C1,U+E3C1,
uniE3C2,U+E3C2,
uniE3C3,U+E3C3,
uniE3C4,U+E3C4,
uniE3C5,U+E3C5,
uniE3C6,U+E3C6,
uniE3C7,U+E3C7,
uniE3C8,U+E3C8,
uniE3C9,U+E3C9,
uniE3CA,U+E3CA,
uniE3CB,U+E3CB,
uniE3CC,U+E3CC,
uniE3CD,U+E3CD,
uniE3CE,U+E3CE,
uniE3CF,U+E3CF,
uniE3D0,U+E3D0,
uniE3D1,U+E3D1,
uniE3D2,U+E3D2,
uniE3D3,U+E3D3,
uniE3D4,U+E3D4,
uniE3D5,U+E3D5,
uniE3D6,U+E3D6,
uniE3D7,U+E3D7,
uniE3D8,U+E3D8,
uniE3D9,U+E3D9,
uniE3DA,U+E3DA,
uniE3DB,U+E3DB,
uniE3DC,U+E3DC,
uniE3DD,U+E3DD,
uniE3DE,U+E3DE,
uniE3DF,U+E3DF,
uniE3E0,U+E3E0,
uniE3E1,U+E3E1,
uniE3E2,U+E3E2,
uniE3E3,U+E3E3,
uniE3E4,U+E3E4,
uniE3E5,U+E3E5,
uniE3E6,U+E3E6,
uniE3E7,U+E3E7,
uniE3E8,U+E3E8,
uniE3E9,U+E3E9,
uniE3EA,U+E3EA,
uniE3EB,U+E3EB,
uniE3EC,U+E3EC,
uniE3ED,U+E3ED,
uniE3EE,U+E3EE,
uniE3EF,U+E3EF,
uniE3F0,U+E3F0,
uniE3F1,U+E3F1,
uniE3F2,U+E3F2,
uniE3F3,U+E3F3,
uniE3F4,U+E3F4,
uniE3F5,U+E3F5,
uniE3F6,U+E3F6,
uniE3F7,U+E3F7,
uniE3F8,U+E3F8,
uniE3F9,U+E3F9,
uniE3FA,U+E3FA,
uniE3FB,U+E3FB,
uniE3FC,U+E3FC,
uniE3FD,U+E3FD,
uniE3FE,U+E3FE,
uniE3FF,U+E3FF,
uniE400,U+E400,
uniE401,U+E401,
uniE402,U+E402,
uniE403,U+E403,
uniE404,U+E404,
uniE405,U+E405,
uniE406,U+E406,
uniE407,U+E407,
uniE408,U+E408,
uniE409,U+E409,
uniE40A,U+E40A,
uniE40B,U+E40B,
uniE40C,U+E40C,
uniE40D,U+E40D,
uniE40E,U+E40E,
uniE40F,U+E40F,
uniE410,U+E410,
uniE411,U+E411,
uniE412,U+E412,
uniE413,U+E413,
uniE414,U+E414,
uniE415,U+E415,
uniE416,U+E416,
uniE417,U+E417,
uniE418,U+E418,
uniE419,U+E419,
uniE41A,U+E41A,
uniE41B,U+E41B,
uniE41C,U+E41C,
uniE41D,U+E41D,
uniE41E,U+E41E,
uniE41F,U+E41F,
uniE420,U+E420,
uniE421,U+E421,
uniE422,U+E422,
uniE423,U+E423,
uniE424,U+E424,
uniE425,U+E425,
uniE426,U+E426,
uniE427,U+E427,
uniE428,U+E428,
uniE429,U+E429,
uniE42A,U+E42A,
uniE42B,U+E42B,
uniE42C,U+E42C,
uniE42D,U+E42D,
uniE42E,U+E42E,
uniE42F,U+E42F,
